見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
「企業における人権」講演会,,（１）セクシュアルマイノリティの人権課題と支援のあり方（２）情報セキュリティと人権,(1)講師：日高庸晴氏（宝塚大学看護学部教授）(2)講師：吉川誠司氏（情報処理推進機構技術本部セキュリティセンター),(1)1月16日（月）(2)17日（火）いずれも13:30～15:30,(1)和歌山ビッグ愛（和歌山市）(2)田辺市文化交流センターたなべる,,(1)80人(2)50人（先着順）,,,,ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を県庁人権施策推進課ファックス073-433-4540 ,,,,http://www.pref.wakayama.lg.jp/prefg/021400/partner2/partner_index.html,,e0215001@pref.wakayama.lg.jp,
人権講座 「あなた」を受取る、「わたし」を伝える。,お互いの人権を尊重しながら自分の気持ちの伝え方を学ぶ,ファシリテーター：浅見葉子氏（リーフコミュニケーション代表）,,(1)1月14日（土）(2)15日（日）いずれも14:00～16:00,(1)橋本市教育文化会館 (2)和歌山ビッグ愛（和歌山市）,,各30人,,,,電話、ファックス、Eメールで住所、氏名、電話番号を県人権啓発センター　電話073-435-5420　ファックス073-435-5421,,,,http://w-jinken.jp/,,workshop2016@w-jinken.jp,
疾患別患者・家族交流会,,,,(1)潰瘍性大腸炎 2月11日（祝）(2)特発性間質肺炎 2月22日（水）(3)ベーチェット病 3月11日（土）いずれも13:30～15:30,県難病・子ども保健相談支援センター（和歌山市）,患者、家族,各10人（先着順）,,,,電話、ファックスで交流会名、氏名、電話番号、参加人数を開催前日（手話通訳希望者は開催日の15日前）までに会場、電話073-445-0520　ファックス073-445-0603 ,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/info1.html,,,
みんなに男女共同参画,,(1)自分らしい働き方をしよう～働き続けるために必要なことについてパネルディスカッション(2)セクシュアルマイノリティの子供たちについて考える講座,,(1)1月28日（土）14:00～16:30　(2)29日（日）13:30～17:00,(1)(2)“りぃぶる”（和歌山市）,,(1)30人(2)50人（先着順）,,,,電話、Eメールで氏名、電話番号（(2)はメールアドレス）を(1)ワーク・カフェ　電話090-6663-35258 (2)チーム紀伊水道　電話080-7950-2031,,,,,,（１）mailto:info@workcafe.org,（２）mailto:kii.suidoh@gmail.com
県消費者教育講座,イーデス・ハンソン氏による講演および岡崎裕氏（和歌山大学大学院教授）との対談,,,1月21日（土）13:30～15:30,メディアアートホール(和歌山市),,250人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、振興局総務県民課、ウェブサイトで配布）を1月16 日までにファックス073-433-1771県庁県民生活課※手話通訳あり ,,,,http://www.pref.wakayama.lg.jp/prefg/031300/H28kyouikukouza2/H28kyouikukouza2.html,,mailto:e0313001@pref.wakayama.lg.jp,
2月7日は「北方領土の日」~四島(しま)の未来 心かよわせ 返還へ~,創立35周年記念・第36回北方領土返還要求和歌山県民大会,手嶋龍一氏による講演や中学生の北方領土問題現地研修報告など,,2月4日（土）13:00～16:00,和歌山ビッグウエーブ（和歌山市）,,500人（先着順）,,,県庁広報課※手話通訳あり,,,,,,,,
ヤフー！官公庁オークションで県有地を売却します,ヤフーのウェブサイトから参加仮申込をしてください,入札参加仮申込期間：1月16日13:00～2月3日14:00,,入札期間：2月17日13:00～24日13:00※締切後開札,,,,,,県庁管財課,,,,,http://koubai.auctions.yahoo.co.jp/wakayama,,,
薬物銃器犯罪根絶の集い,警察音楽隊コンサートや薬物乱用防止啓発トークなど,,,2月5日（日）13:30～15:00,イオンモール和歌山（和歌山市）,,,,,県警本部組織犯罪対策課　電話073-423-0110,,,,,,,,
県消費生活センターからのお知らせ,,生活教養講座,,2月1・8・15・22日（全4回）いずれも水曜 13:30～15:00,西牟婁振興局（田辺市）,,各40人（先着順）,,郵送、電話、ファックスで住所、氏名、電話番号を1月20日までに問合先,県消費生活センター 〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階　電話073-433-1551　ファックス073-433-3904,,,,,http://www.wcac.jp/,,,
県消費生活センターからのお知らせ,,「消費生活サポーター」養成講座～地域での啓発活動ボランティアを募集,,(1)2月6日(2)13日(3)20日 いずれも月曜10:00～16:30,(1)日高振興局 （御坊市）(2)伊都振興局（橋本市）(3)和歌山ビッグ愛（和歌山市）,県内在住で20歳以上の方,各30人（先着順）,,郵送、ファックスで所定の申込書（ウェブサイトで配布）を1月25日までに問合先,県消費生活センター 〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階　電話073-433-1551　ファックス073-433-3904,,,,,http://www.wcac.jp/,,,
潜在介護職員再就職支援研修会,,,,1月15日（日）10:00～16:30,和歌山ビッグ愛（和歌山市）,介護関係の有資格者で福祉職場に就職を希望する方など,20人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号、資格、経験年数を1月12日までに県福祉人材センターハートワーク　〒640-8545和歌山市手平2-1-2和歌山ビッグ愛7階　電話073-435-5211 ファックス073-435-5209※一時保育は要予約 ,,,,http://www.wakayamakenshakyo.or.jp/,,mailto:jinzai@wakayamakenshakyo.or.jp,
職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン･総務経理事務科(2)ビル管理技術科(3)(5)パソコン基礎科(4)介護初級科,,2月より随時開始,(1)(2)和歌山市(3)橋本市(4)(5)田辺市,,(1)～(4)各15人(5)20人（選考）,"10,000円程度（テキスト代など）",,,(1)(3)1月25日(4)(5)26日(2)2月6日までにハローワーク ,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
労働セミナー,,第1部：パネルディスカッション「働き方改革」で社員も企業もさらに元気に！　第2部：講座「知って安心！労務管理の基礎知識」,,(1)1月27日（金）(2)2月2日（木） いずれも13:30～16:00,(1)情報交流センターBig・U(田辺市)(2)プラザホープ(和歌山市),,(1)100人(2)200人（先着順）,,,,郵送、ファックスで住所、氏名、電話（ファックス）番号、勤務先を1月20日までに県庁労働政策課　ファックス073-422-5004,,,,http://www.pref.wakayama.lg.jp/prefg/060600/index.html,,,
第11回音の杜コンサート,県新人演奏会出演者によるクラシックコンサート,,,2月5日（日）14:00～,県民文化会館（和歌山市）,※未就学児は入場不可,328人（先着順）,"1,000円、高校生以下500円",,,郵送、電話、インターネットで（一時保育［有料］希望者は1月27日までに）会場 〒640-8269和歌山市小松原通1-1　電話073-436-1331,,,,http://www.wacaf.or.jp/culturehall/,,,
